 Category 1: Missing try-catch in Backend APIs
These route handlers make direct DB calls with zero error handling — if PostgreSQL throws, the Express process crashes with an unhandled promise rejection.

File	Line	Issue Description	Suggested Fix
artifacts/api-server/src/routes/notifications.ts	16	GET / — entire handler has no try-catch. Direct DB select + insert on first-visit seed flow.	Wrap lines 18–40 in try { ... } catch { res.status(500).json({ error: "Server error" }); }
artifacts/api-server/src/routes/notifications.ts	52	POST / — DB insert with no try-catch.	Same wrapper pattern.
artifacts/api-server/src/routes/notifications.ts	59	PATCH /read-all — DB update, no error handling.	Same.
artifacts/api-server/src/routes/notifications.ts	65	PATCH /:id/read — no try-catch.	Same.
artifacts/api-server/src/routes/notifications.ts	74	DELETE /:id — no try-catch.	Same.
artifacts/api-server/src/routes/variants.ts	11	GET /product/:productId — no try-catch. Raw DB call exposed.	Wrap DB block in try-catch, return 500.
artifacts/api-server/src/routes/variants.ts	33	GET /product/:productId/all — no try-catch.	Same.
artifacts/api-server/src/routes/variants.ts	52	POST / — no try-catch.	Same.
artifacts/api-server/src/routes/variants.ts	87	PATCH /:id — no try-catch.	Same.
artifacts/api-server/src/routes/variants.ts	113	DELETE /:id — no try-catch.	Same.
artifacts/api-server/src/routes/promotions/public.ts	10	GET /public — no try-catch. Runs 2 heavy DB queries exposed.	Wrap full handler body in try-catch.
artifacts/api-server/src/routes/promotions/public.ts	73	GET /for-you — no try-catch.	Same.
artifacts/api-server/src/routes/promotions/public.ts	123	POST /auto-apply — no try-catch. Loops DB per offer.	Same.
artifacts/api-server/src/routes/promotions/public.ts	230	POST /validate — no try-catch. Multiple awaited DB calls.	Same.
artifacts/api-server/src/routes/promotions/public.ts	363	GET /vendor/campaigns — no try-catch.	Same.
artifacts/api-server/src/routes/promotions/public.ts	386	POST /vendor/campaigns/:id/participate — no try-catch.	Same.
artifacts/api-server/src/routes/school.ts	35	GET /routes — public route, no try-catch.	try { ... } catch { res.status(500).json({ error: "Server error" }); }
artifacts/api-server/src/routes/school.ts	45	GET /routes/:id — no try-catch.	Same.
artifacts/api-server/src/routes/school.ts	56	POST /subscribe — long handler with wallet deduction, no try-catch. Critical financial path.	Wrap entire body in try-catch with DB rollback guard.
